//プレミアム・パスポート　事業協賛店一覧,,20160104 
企業ID,店舗ID,店舗・施設名,郵便,住所,住所建物,緯度,経度,電話,FAX,URL,営業・利用可能時間,定休日,プレパス特典（協賛店のみ）
co101020,ofid0012,個別指導のフィットアカデミー　金沢高尾台校,921-8155,石川県金沢市高尾台2丁目77番地,中山ビル1F,36.5239328, 136.6330041,076-255-7255,,http://www.world-staff.com,16:00〜22:00（※時期によって変更する場合がありますので詳しくはお問い合わせください）,日・祝日（※時期によって変更する場合がありますので詳しくはお,
co100199,ofid0001,倶利伽羅の里　祥楽の湯　津幡店,929-0342,石川県河北郡津幡町北中条地区1-1,（アルプラザ津幡敷地内）,36.6612079, 136.7255755,076-289-0261,076-289-0268,http://www.yu-iwashita.jp/shoraku/,平日10:00〜25:00　土日祝7:00〜25:00,年中無休,
co100402,ofid0001,倶利伽羅塾,929-0426,石川県河北郡津幡町竹橋西270番地,,36.6627452, 136.7685159,076-288-8668,076-288-8669,http://www.kurikara.org/,8:30〜21:00,毎月第1月曜日,
co101338,ofid0001,健康ハウス　憩,929-1521,石川県鹿島郡中能登町金丸143番地,,36.954273,136.855494,0767-72-3970,,http://www.town.nakanoto.ishikawa.jp/webapps/www/index.jsp,8：00〜21：00,木曜日,
co100848,ofid0001,健康食工房　たかの（マクロビオティック）,920-0944,石川県金沢市三口新町3丁目11番22号,,36.5451968, 136.6787570,076-263-7730,076-263-7730,http://kirameki-takano.com/,11:00〜21:00　LO：20:00　,日曜日　期間により変更あり,
co100083,ofid0006,健民スポレクプラザ,921-8043,石川県金沢市西泉6丁目188番地,,36.5549642, 136.6268351,076-247-8999,076-247-5909,http://www.notoaqua.jp/fureai/supochuu/,8:30〜20:30,◆アイスリンク　24年度シーズンは10月からの営業予定です。,
co100172,ofid0001,健民海浜公園プール,920-0351,石川県金沢市普正寺町11字1番地,,36.593381, 136.5830710,076-267-2266,076-267-2267,http://www.kenminkouen.com,9:00〜18:00,利用日　７月〜８月,プールサイドで親子体験工作教室
co602245,ofid0006,備長扇屋 金沢県庁前店,920-0345,石川県金沢市藤江北4-271,,36.5912042, 136.6235005,076-267-6663,076-267-6663,http://www.via-hd.co.jp/o-giya/,17:00〜24:00, 年中無休,
co602245,ofid0001,備長扇屋　小松店,923-0866,石川県小松市白嶺町1丁目5-1,,36.3909297,136.4503962,0761-23-6420,0761-23-6420,http://www.via-hd.co.jp/o-giya/,17:00〜24:00,年中無休,
co602245,ofid0002,備長扇屋　野々市中央通り店,921-8823,石川県野々市市粟田6-367-2,,36.5100834, 136.6090349,076-248-6663,076-248-6663,http://www.via-hd.co.jp/o-giya/,17:00〜24:00,年中無休,
co602245,ofid0003,備長扇屋　金沢八日市店,921-8063,石川県金沢市八日市出町155-1,,36.5533141,136.6089950,076-214-3747,076-214-3747,http://www.via-hd.co.jp/o-giya/,17:00〜24:00, 年中無休,
co602245,ofid0004,備長扇屋　金沢片町店,920-0981,石川県金沢市片町2-24-2,,36.5601032, 136.6512748,076-260-6777,076-260-6777,http://www.via-hd.co.jp/o-giya/,17:00〜24:00, 年中無休,
co602245,ofid0005,備長扇屋　金沢直江店,920-8216,石川県金沢市直江町リ49,,36.6122459,136.6356908,076-239-2977,076-239-2977,http://www.via-hd.co.jp/o-giya/,17:00〜24:00, 年中無休,
co100811,ofid0001,全家研ポピー　金沢支部,920-3122,石川県金沢市福久町ヘ３８−３,,36.6121661, 136.6793874,076-258-6700,076-258-9708,http://www.popy.co.jp/,9:00〜17:20,毎週土日、祝日,
co100072,ofid0008,八幡のすしべん　一の宮店,925-0003,石川県羽咋市寺家町ル53-2,,36.9213690,136.7720550,0767-22-3740,,http://www.yahata-group.com,6:30〜24:00,,
co100072,ofid0004,八幡のすしべん　七尾東店,926-0031,石川県七尾市古府町タ10,,37.0323504, 136.9670513,0767-53-7543,,http://www.yahata-group.com,7:00〜22:30,,
co100072,ofid0003,八幡のすしべん　七尾西店,926-0821,石川県七尾市国分町ラ20-1,,37.0360047, 136.9526637,0767-52-5506,,http://www.yahata-group.com,7:00〜22:00,,
co100072,ofid0002,八幡のすしべん　中島店,929-2222,石川県七尾市中島町中島ロ11,,37.1313231,136.8640661,0767-66-0155,,http://www.yahata-group.com,7:00〜18:00,,
co100072,ofid0019,八幡のすしべん　入江店,921-8011,石川県金沢市入江2丁目32,,36.5657823, 136.6235848,076-291-2712,,http://www.yahata-group.com,24H営業,,
co100072,ofid0018,八幡のすしべん　安原店,920-0376,石川県金沢市福増町北517,,36.5672324,136.5808802,076-249-2788,,http://www.yahata-group.com,10:00〜22:00,,
co100072,ofid0009,八幡のすしべん　宝達店,929-1303,石川県羽咋郡宝達志水町河原ミ62,,36.8234361, 136.7688785,0767-28-2200,,http://www.yahata-group.com,7:00〜22:00,,
co100072,ofid0017,八幡のすしべん　東インター店,920-0007,石川県金沢市田中町ほ26-1,,36.6037307, 136.6626754,076-239-1888,,http://www.yahata-group.com,24H営業,,
co100072,ofid0022,八幡のすしべん　松本店,924-0057,石川県白山市松本町937-1,,36.5129217, 136.5112380,076-274-8988,,http://www.yahata-group.com,6:00〜22:00,,
co100072,ofid0013,八幡のすしべん　桂店,920-0332,石川県金沢市無量寺町ト15-1,,36.6060186, 136.6075404,076-268-2731,,http://www.yahata-group.com,5:00〜22:00,,
co100072,ofid0001,八幡のすしべん　此木店,927-0053,石川県鳳珠郡穴水町此木4-14,,37.2444069, 136.8986949,0768-52-3339,,http://www.yahata-group.com,7:00〜22:00,,
co100072,ofid0012,八幡のすしべん　津幡店,929-0454,石川県河北郡津幡町杉瀬イ152-1,,36.6667108, 136.7473316,076-288-5614,,http://www.yahata-group.com,7:00〜23:00,,
co100072,ofid0011,八幡のすしべん　白尾インター店,929-1177,石川県かほく市白尾ツ20-1,,36.7159653, 136.6918203,076-283-6800,,http://www.yahata-group.com,6:00〜24:00,,
co100072,ofid0023,八幡のすしべん　福留店,924-0051,石川県白山市福留町570-2,,36.4916148,136.5247883,076-277-3322,,http://www.yahata-group.com,6:00〜22:00,,
co100072,ofid0005,八幡のすしべん　羽坂店,929-1714,石川県鹿島郡中能登町羽坂い43-1,,36.9954025, 136.9038846,0767-74-1222,,http://www.yahata-group.com,7:00〜22:00,,
co100072,ofid0015,八幡のすしべん　赤土店,920-0353,石川県金沢市赤土町ニ104-1,,36.5828049, 136.5940872,076-267-6166,,http://www.yahata-group.com,6:00〜22:00,,
co100072,ofid0014,八幡のすしべん　近岡店,920-8217,石川県金沢市近岡町962-1,,36.6157537, 136.6304661,076-238-6639,,http://www.yahata-group.com,24H営業,,
co100072,ofid0020,八幡のすしべん　野々市店,921-8807,石川県野々市市二日市町538-1,,36.5400881, 136.6010077,076-246-0550,,http://www.yahata-group.com,24H営業,,
co100072,ofid0006,八幡のすしべん　飯山店,925-0613,石川県羽咋市飯山町ロ10-1,,36.8998877, 136.8241129,0767-26-3155,,http://www.yahata-group.com,6:30〜21:00,,
co100072,ofid0016,八幡のすしべん　高柳店,920-0012,石川県金沢市磯部町ニ6-2,,36.5988535, 136.6594148,076-252-3171,,http://www.yahata-group.com,5:00〜22:00,,
co100072,ofid0024,八幡のすしべん　鶴来店,920-2134,石川県白山市鶴来水戸町ﾉ-28-2,,36.4488285, 136.6219234,076-272-3688,,http://www.yahata-group.com,6:00〜21:00,,
co100072,ofid0025,八幡のすしべん　鹿島バイパス店,929-1631,石川県鹿島郡中能登町久江7-3-1,,36.9556258, 136.8893181,0767-77-1112,,http://www.yahata-group.com,6:30〜21:00,,
co110390,ofid0001,公立つるぎ病院,920-2134,石川県白山市鶴来水戸町ノ１番地,,36.447194, 136.6238029,076-272-1250,076-272-3144,http://www.tsurugihp.jp/,8:30~16:00（午前の場合は11:45まで）,月・水・金の午後、土・日・祝日及び年末年始（病院の閉院日とは異なります）,
co100787,ofid0001,六星直売店　むっつぼし,924-0812,石川県白山市橋爪町104番地,,36.51637072,136.5837157,076-276-5266,076-276-5424,http://www.rokusei.net,9:00〜17:00,水曜日,
co100773,ofid0003,六角堂,920-0831,石川県金沢市東山1-38-27,,36.5730684, 136.6679206,076-252-5115,076-252-5116,http://www.asadaya.co.jp,昼11:00〜15:00　夜17:00〜22:00,12/31,
co101069,ofid0001,兼重食料品店,926-0855,石川県七尾市小丸山台2丁目42,,37.0469203, 136.9510523,0767-52-1134,,,7:00〜22:00,年中無休,
co100012,ofid0006,内灘町屋内温水プール,920-0264,石川県河北郡内灘町宮坂に1-9,,36.6667423, 136.6529548,076-286-1800,076-286-5521,,10：00〜21：00（月〜土）、10：00〜18：00（日・祝）,第１火曜日,
co100347,ofid0001,写真のミヤノ,929-0323,石川県河北郡津幡町津幡ハ96-1,,36.6719432, 136.7352436,0120-002-013,076-289-2143,http://www.miyanophotostudio.com/,8:30〜19:30、日・祝8:30〜19:00,年中無休,
co101454,ofid0002,出光リテール販売（株）中部カンパニー　金沢南営業所,921-8064,石川県金沢市八日市１−７７４,,36.5415379, 136.6095847,076-280-4010,076-280-5747,http://www.chubu.idemitsu-rh.co.jp,７時３０分から２１時００分,2014/01/01,
co101026,ofid0001,前田写真館,926-0811,石川県七尾市御祓町26番地3,,37.0438227,136.9638651,0767-52-0020,,,8:30〜19:30,年中無休（要予約）,
co101348,ofid0001,前田印刷（株）,924-0004,石川県白山市旭丘2丁目16番地,,36.5507221, 136.5701322,076-274-2225,076-274-5223,http://www.maeda-print.co.jp/,9:00〜17:30,,会社内の工場見学
co100418,ofid0001,前田文具店,929-1123,石川県かほく市森レ82-8,,36.7225674, 136.7050547,076-283-0066,076-283-7366,,7:30〜19:30,,
co101267,ofid0001,割烹　たけし,920-0981,石川県金沢市片町2-32-4,,36.561017, 136.6493139,076-234-2121,076-261-0599,http://kappotakeshi.jp,昼12:00〜14:00（前日までにご予約ください）、夜17:00〜23:00,日曜日,
co989344,ofid0002,創作加賀料理　加能,921-8565,石川県金沢市大額町ル８番地,,36.5139526, 136.6312163,076-296-0118,076-296-4659,,昼11：30〜15：00（L.O.14：00）、夜17：30〜22：00（L.O.21：00）,無休,
co101253,ofid0001,創作焼肉料理　だいご,920-0347,石川県金沢市松村町ヌ47,,36.5904458, 136.6144959,076-268-2917,,http://r.gnavi.co.jp/r151700/,17:00〜24:00,月曜日、祝日の場合は翌日火曜日,
co101326,ofid0001,加賀カントリークラブ,922-0824,石川県加賀市日谷町1-1,,36.2868851, 136.3338536,0761-72-3315,0761-72-3805,http://www.kaga-cc.co.jp/,7：30〜18：00,年中無休,
co100703,ofid0001,加賀ケーブルテレビ,922-0423,石川県加賀市作見町ホ58番地1,,36.3159184, 136.3582558,0761-72-8181,0761-72-5995,http://www.kagacatv.jp/,9:00〜18:00,年中無休,
co100130,ofid0001,加賀フルーツランド,922-0004,石川県加賀市豊町イ59-1,,36.3268166,136.3052809,0761-72-1800,0761-72-7151,http://www.furulan.com,9:00〜17:00,年末年始12/29〜1/1　12月〜2月の毎週火曜日,フルーツ狩り体験やパークゴルフ体験
co101057,ofid0001,加賀写真館,922-0811,石川県加賀市大聖寺南町ホ34,,36.3013688, 136.3131551,0761-72-4677,0761-72-4682,http://kaga-photo.com,9:00〜19:00,水曜日,
co100012,ofid0005,加賀市水泳プール,922-0431,石川県加賀市山田町リ245-2,,36.3246971, 136.3316635,0761-73-2259,0761-73-2313,,10：00〜20：00（月〜土）、10：00〜18：00（日・祝）,年末年始,
co100266,ofid0001,加賀料理　まほろば,920-0937,石川県金沢市丸の内6-3,金沢白鳥路　ホテル山楽内,36.5677691, 136.6620545,076-222-1212,076-222-1120,http://www.sanraku.premierhotel-group.com/kanazawa/,AM12:00 〜PM2:00　※ラストオーダーPM2:00  　AM5:30 〜PM9:00　※ラストオーダーPM9:00,無休,個室は別途室料が発生いたします。
co100312,ofid0002,加賀棒茶丸八製茶場　金沢百番街店,920-0858,石川県金沢市木ノ新保町1-1,「あんと」内,36.5800422, 136.6490271,076-222-6950,076-222-6950,http://www.kagaboucha.co.jp/,8:30〜19:00（季節により延長することがあります）,なし,
co100127,ofid0001,加賀生菓子　丸福,921-8105,石川県金沢市平和町3丁目7番1号,,36.541703,136.663487,076-243-0029,076-241-1022,,9:00〜19:00（日祭日は9：00〜17：00）,毎週火曜日,
co100760,ofid0001,加賀種食品工業株式会社,920-0817,石川県金沢市春日町8-8,,36.584209,136.673531,076-252-2222,076-252-2151,http://www.kagadane.co.jp,8:30〜17:00,土・日・祝日　旧盆、年末年始,
co100057,ofid0001,加賀菓子処　御朱印,923-0925,石川県小松市八日市町34,,36.4023668, 136.4492126,0761-21-8311,0761-24-2118,http://www.goshuin.co.jp/,8:00〜19:30　水曜日のみ8:00〜17:00,元日のみ,
co100139,ofid0001,加賀野菜・地物野菜　なかまさ,922-0129,石川県加賀市山中温泉南町ロの76の3,,36.244313,136.372287,0761-78-1112,0761-78-1391,http://www.nakamasa.jp,9:00〜18:30,第4日曜日,現在当店では旬の野菜をとりあげ、その食べ方・保存の仕方・栄養など勉強する野菜塾を開催しております（月２回)。　それに加えて３才〜小学生を対象とした親子ウェルカム野菜塾を開催しております。旬がわからなくなっている今だからこそ伝えていきたい本当の旬とおいしさ、地産地消、地元の食材で行います。
co100427,ofid0001,勢登鮮魚店,929-2222,石川県七尾市中島町中島８−６６−３,,37.119542, 136.8499888,0767-66-0010,0767-66-0079,,8:30〜19:00,毎週日曜日,
co391219,ofid0006,北國新聞文化センターアピタ松任店スタジオ,924-0817,石川県白山市幸明町280,アピタ松任店3Ｆ,36.5158324, 136.5769295,076-276-3302,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0009,北國新聞文化センター七尾教室,926-0804,石川県七尾市生駒町2,北國新聞社七尾支社2Ｆ,37.0455378, 136.9645762,0767-52-5823,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0003,北國新聞文化センター北國英会話カレッジ,920-0961,石川県金沢市香林坊1-2-24,香林坊プラザ4Ｆ,36.564525, 136.6539218,076-265-5455,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0008,北國新聞文化センター小松教室,923-0801,石川県小松市園町ホ91-1,,36.4075892,136.4612909,0761-21-1987,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0007,北國新聞文化センター白山スタジオ,929-0201,石川県白山市鹿島町2-17-1,ショセキ白山工場3Ｆ,36.5004691,136.5042443,076-278-7891,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0005,北國新聞文化センター野々市スタジオ,921-8815,石川県野々市市本町5-4-10,,36.5326029, 136.6077768,076-248-7331,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0004,北國新聞文化センター金沢南スタジオ,921-8144,石川県金沢市額谷町ホ2-8,,36.5094864, 136.6285269,076-296-1212,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co391219,ofid0001,北國新聞文化センター金沢本部教室,920-0919,石川県金沢市南町2番1号,北國新聞会館9階,36.564939,136.653244,076-260-3535,076-260-3427,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00 ,祝日,
co391219,ofid0002,北國新聞文化センター香林坊ラモーダスタジオ,920-0961,石川県金沢市香林坊2-4-30,香林坊ラモーダ4Ｆ,36.5641262,136.6534597,076-233-0388,,http://hokkoku.bunkacenter.or.jp/,月〜金／午前9:30〜午後8:00　土・日曜／午前9:30〜午後5:00,祝日,
co966453,ofid0001,北國新聞赤羽ホール,920-0919,石川県金沢市南町2番1号,,36.5651025,136.6527880,076-260-3555,076-260-5063,http://www.akabane-hall.jp/,10：00〜18：00,土・日・祝,
co100783,ofid0005,北國銀行　小松ローンセンター,923-0921,石川県小松市土居原町486,（小松中央支店内）,36.3995368, 136.4515263,0120-033-038,0761-22-9212,http://www.hokkokubank.co.jp,10:00〜18:00、土日祝10:00〜17:00,12月31日、1月1日〜3日,ローン金利の優遇、親子お仕事体験会の実施
co100783,ofid0004,北國銀行　本店ローンセンター,920-0031,石川県金沢市広岡2-12-6,,36.57917, 136.6446968,0120-117-660,076-263-0254,http://www.hokkokubank.co.jp,10:00〜18:00、土日祝10:00〜17:00,12月31日、1月1日〜3日,ローン金利の優遇、親子お仕事体験会の実施
co100783,ofid0006,北國銀行　松任ローンセンター,924-0867,石川県白山市茶屋2丁目46番地１,,36.5189819, 136.5603000,0120-033-216,076-274-3539,http://www.hokkokubank.co.jp,9：00〜17：00、土日祝10：00〜17：00,12月31日、１月１日〜３日,ローン金利の優遇、親子お仕事体験会の実施
co100783,ofid0002,北國銀行　県庁前ローンセンター,920-8203,石川県金沢市鞍月5丁目181番地,AUBEビル1階,36.5968451,136.6257967,0120-606-889,076-238-7010,http://www.hokkokubank.co.jp,10:00〜18:00、土日祝10:00〜17:00,12月31日、1月1日〜3日,ローン金利の優遇、親子お仕事体験会の実施
co100783,ofid0003,北國銀行　野々市ローンセンター,921-8817,石川県野々市市横宮町19番1,,36.5339888, 136.6178148,0120-399-606,076-246-1334,http://www.hokkokubank.co.jp,9:00〜17:00、土日祝10:00〜17:00,12月31日、1月1日〜3日,ローン金利の優遇、親子お仕事体験会の実施
co100783,ofid0001,北國銀行　金沢西部ローンセンター,921-8013,石川県金沢市新神田5丁目3番地,,36.5636216, 136.6282401,0120-336-323,076-291-5885,http://www.hokkokubank.co.jp,9:00〜17:00、土日祝10:00〜17:00,12月31日、1月1日〜3日,ローン金利の優遇、親子お仕事体験会の実施
co100378,ofid0001,北島屋茶店,926-0806,石川県七尾市一本杉町５４,,37.0480235, 136.9613709,0767-53-0003,0767-53-0172,http://www7.ocn.ne.jp/~kita3079/,8:00〜19:00,年始,
co100972,ofid0001,北日本観光自動車,920-0357,石川県金沢市佐奇森町ヲ88番地3,,36.588321,136.584491,076-266-2135,076-266-2510,http://www.kitanippon-kanko.co.jp/,9:00〜17:20,日曜祝祭日,
co100379,ofid0001,北村洋品店,923-0955,石川県小松市上本折町33,,36.394565, 136.4474851,0761-22-4244,0761-22-4278,,9:00〜19:30,水曜日,
co790045,ofid0001,北陸ガールズスクエア,920-0041,石川県金沢市長田本町チ２２−２,東海ビル２階,36.5725633,136.6403322,076-256-5922,076-256-5924,http://girls-square.com/,10:00〜22:00（金・日のみ18:00まで）,なし,水素水サーバー、冷蔵庫、コピー複合機
co101370,ofid0001,北陸スウェーデンハウス　駅西モデルハウス,920-0027,石川県金沢市駅西新町3丁目6-1,,36.5905627, 136.6333389,076-234-3060,076-234-3069,http://www.swedenhouse-hokuriku.com/,10:00〜17:00,年末年始,
co100976,ofid0002,北陸ミサワホーム　ホームイング金沢店　,921-8054,石川県金沢市西金沢4丁目555番地,,36.5555333,136.6118359,076-249-3302,076-249-3329,http://www.hokuriku-misawa.co.jp/,9:00〜19:00,年末・年始,
co100976,ofid0001,北陸ミサワホーム　七尾営業所,926-0816,石川県七尾市藤橋町戌-23番地1,,37.0381129, 136.9540356,0767-52-2266,0767-52-2267,http://www.hokuriku-misawa.co.jp/,9:00〜19:00,年末・年始,
co100976,ofid0004,北陸ミサワホーム　小松営業所,923-0854,石川県小松市大領町ロ37番地,,36.3876718, 136.4497074,0761-24-4631,0761-24-4632,http://www.hokuriku-misawa.co.jp/,9:00〜19:00,年末・年始,
co100976,ofid0003,北陸ミサワホーム　金沢支店,920-0847,石川県金沢市堀川町23番23号,,36.5808394, 136.6525825,076-233-2737,076-223-2747,http://www.hokuriku-misawa.co.jp/,9:00〜19:00,年末・年始,
co719451,ofid0001,北陸中日新聞事業部,920-8573,石川県金沢市駅西本町２丁目１２番３０号,,36.5833221, 136.6388999,076-233-4642,,http://www.chunichi.co.jp/hokuriku/,平日の１０：００〜１７：００,,
co101332,ofid0001,北陸保険補償,921-8163,石川県金沢市横川2丁目208番地　,サテライト90,36.5362522, 136.6267907,076-242-7777,076-242-7733,,9:00〜18:00　,土日祝日　,
co100977,ofid0012,北陸信用金庫　あさひ支店,924-0022,石川県白山市相木町540番地1,,36.5347018, 136.5611969,076-275-7775,076-275-7990,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0011,北陸信用金庫　千代野支店,924-0073,石川県白山市千代野東5丁目5番地1,,36.5235554, 136.5428709,076-276-5123,076-275-7979,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0015,北陸信用金庫　南支店,923-0957,石川県小松市本折町71番地,,36.3975674, 136.4486739,0761-22-7184,0761-23-2114,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0005,北陸信用金庫　城南支店,920-0966,石川県金沢市城南2丁目42番26号,,36.5501546, 136.6683657,076-222-1155,076-263-7779,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0016,北陸信用金庫　大川町支店,923-0913,石川県小松市松任町3番地,,36.4115373, 136.4504343,0761-22-4126,0761-23-2115,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0014,北陸信用金庫　小松中央支店,923-0927,石川県小松市西町123番地1,,36.4055967, 136.4487596,0761-22-7251,0761-23-2113,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0020,北陸信用金庫　小松東支店,923-0811,石川県小松市白江町ハ23番地1,,36.4013548, 136.4754275,0761-22-0660,0761-22-7411,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0006,北陸信用金庫　新神田支店,920-0047,石川県金沢市大豆田本町ロ38番地,,36.567474, 136.6331230,076-291-5678,076-291-8797,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0001,北陸信用金庫　本店営業部,920-0863,石川県金沢市玉川町11番18号,,36.5734682, 136.6513495,076-233-1181,076-233-1170,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0009,北陸信用金庫　松任支店,924-0884,石川県白山市東新町4番地,,36.5232203, 136.5672022,076-275-1234,076-275-7978,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0002,北陸信用金庫　泉支店,921-8041,石川県金沢市泉1丁目7番8号,,36.5500959, 136.6441147,076-241-2101,076-242-7779,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0018,北陸信用金庫　粟津支店,923-0326,石川県小松市粟津町イ104番地の3,,36.3321022, 136.4467982,0761-65-1418,0761-65-3630,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0017,北陸信用金庫　粟津駅前支店,923-0302,石川県小松市符津町ウ76番地の5,,36.3550722, 136.4264193,0761-44-2538,0761-43-3376,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0010,北陸信用金庫　美川支店,929-0234,石川県白山市美川神幸町ソ336番地1,,36.4878509, 136.4884047,076-278-2350,076-278-3606,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0008,北陸信用金庫　野々市支店,921-8815,石川県野々市市本町3丁目7番9号,,36.532214, 136.6148984,076-248-0321,076-248-9545,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0007,北陸信用金庫　金沢西支店,920-0025,石川県金沢市駅西本町2丁目2番40号,,36.5801169, 136.6371807,076-223-2123,076-263-7744,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100977,ofid0003,北陸信用金庫　鳴和支店,920-0804,石川県金沢市鳴和1丁目14番27号,,36.5864860, 136.6745085,076-252-5222,076-252-3955,http://www.hokurikushinkin.co.jp,9:00〜16:00　あさがお広場は20:00まで,土・日・祝日　ただし、あさがお広場は原則年中無休,
co100980,ofid0001,北陸労働金庫　ローンプラザ・オアシス,920-0024,石川県金沢市西念3丁目3-5,フレンドパーク１Ｆ,36.5919736, 136.6317639,0120-373-796,,http://hokuriku.rokin.or.jp,平日10:00〜19:00　土日祝日10:00〜17:00,年中無休,
co100980,ofid0002,北陸労働金庫　ローンプラザ松任,924-0882,石川県白山市八ツ矢町686-1,,36.5267199, 136.5712492,0120-637-158,,http://hokuriku.rokin.or.jp,平日 9：00〜19：00　土日祝 10：00〜17：00,年中無休,
co100980,ofid0006,北陸労働金庫　七尾支店,926-0045,石川県七尾市袖ヶ江町ハ部42-2,,37.0429131, 136.96704,0767-53-0647,,http://hokuriku.rokin.or.jp,平日9：00~15：00※水曜19：00迄延長窓口　第2土曜ローン相談　9：00~17：00,第2以外の土曜、日、祝日、年末年始,
co100980,ofid0004,北陸労働金庫　大聖寺支店,922-0861,石川県加賀市大聖寺地方町1-151-2,,36.3026433, 136.2998483,0761-72-0075,,http://hokuriku.rokin.or.jp,平日9：00~15：00※水曜19：00迄延長窓口　第2土曜ローン相談　9：00~17：00,第2以外の土曜、日、祝日、年末年始,
co100980,ofid0005,北陸労働金庫　小松支店,923-0923,石川県小松市東町82-5,,36.4036333, 136.4503012,0761-22-3342,,http://hokuriku.rokin.or.jp,平日9：00~15：00※水曜19：00迄延長窓口　第2土曜ローン相談　9：00~17：00,第2以外の土曜、日、祝日、年末年始,
co100980,ofid0013,北陸労働金庫　本店営業部,920-0862,石川県金沢市芳斉2-15-18,,36.5720849, 136.6468747,076-231-2161,,http://hokuriku.rokin.or.jp,預金のお取扱い　月・火・木・金 9：00〜15：00　水9:00〜19:00　毎週土曜ローン相談会,日、祝日、年末年始,
co100980,ofid0008,北陸労働金庫　松任支店,924-0882,石川県白山市八ツ矢町686-1,,36.5267199, 136.5712492,076-276-1484,,http://hokuriku.rokin.or.jp,平日9：00~15：00※水曜19：00迄延長窓口　第2土曜ローン相談　9：00~17：00,年末年始,
co100980,ofid0010,北陸労働金庫　珠洲支店,927-1214,石川県珠洲市飯田町7部129,,37.4346183, 137.2612665,0768-82-6111,,http://hokuriku.rokin.or.jp,平日9：00~15：00※水曜19：00迄延長窓口　第2土曜ローン相談　9：00~17：00,第2以外の土曜、日、祝日、年末年始,
co100980,ofid0012,北陸労働金庫　石川県庁出張所,920-8203,石川県金沢市鞍月1-1,県庁内2階,36.5983561, 136.6243280,076-266-2611,,http://hokuriku.rokin.or.jp,平日9：00~15：00※水曜19：00迄延長窓口　第2土曜ローン相談　9：00~17：00,土、日、祝日、年末年始,
